Student,LPIPS,SSIM
112590005.png,0.0,1.0
112590023.png,0.329953670501709,0.6971680863324684
112590044.png,0.34142830967903137,0.6751331676945679
112590013.png,0.3445097506046295,0.7182825192932235
112590029.png,0.3483397662639618,0.7257475460580999
112590035.png,0.3638685941696167,0.6170539932083091
112590014.png,0.3691461980342865,0.6540273663965704
112590056.png,0.3746790885925293,0.720877461055664
110590456.png,0.37754857540130615,0.6429491272260331
112590060.png,0.38126787543296814,0.657115694761563
112590021.png,0.3893033266067505,0.5771970738824258
112590007.png,0.3898068368434906,0.6513743307762677
112590036.png,0.4086664319038391,0.6652544045244903
112590004.png,0.4101758599281311,0.6467917995815263
112590003.png,0.41298142075538635,0.6860668891793456
112590059.png,0.4149356782436371,0.6723895172826054
112590057.png,0.4161968529224396,0.5738758687898672
112590017.png,0.41720137000083923,0.6433063055632727
112590051.png,0.417513906955719,0.5472994726506429
112590026.png,0.4207777976989746,0.5989237275975817
112590022.png,0.4235342741012573,0.5761109136163155
109810011.png,0.42484790086746216,0.6038869102475218
112ab0053.png,0.42602184414863586,0.6696385299990153
112590038.png,0.4300340712070465,0.6448758781346009
112590012.png,0.4311898648738861,0.6804228441938922
112590041.png,0.43338853120803833,0.6356866869929093
112590033.png,0.4382585883140564,0.6490199982090523
112590018.png,0.4512203335762024,0.49829394617842837
112590020.png,0.45263540744781494,0.5862221530542806
112590052.png,0.45864567160606384,0.5141596376551125
111820017.jpg,0.4614066481590271,0.6258741773185467
110820009.png,0.46295365691185,0.5904850280049446
112590031.png,0.4648285508155823,0.518272493013174
112590024.png,0.46554023027420044,0.5837468923768382
111332012.png,0.46609556674957275,0.6086064859317292
112590009.png,0.48299533128738403,0.583572779585113
112590053.png,0.4846605360507965,0.5281882745677485
112590030.png,0.4997628331184387,0.5946672128098465
113378043.png,0.5109504461288452,0.595420704698051
110590041.png,0.5330895185470581,0.5952311785956608
